,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
YOA_2022,623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,Gross Net Premium,"-54,395","-30,084","-49,852","-53,113","-52,051","-55,346","-83,451","-39,563","-40,405","-37,816","-30,479","-32,358"
YOA_2022,623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,External Brokerage,"13,325","7,370","12,213","13,011","12,751","13,558","20,443","9,692","9,898","9,264","7,467","7,927"
YOA_2022,623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,Gross Gross Premium,"-67,721","-37,454","-62,065","-66,124","-64,802","-68,905","-103,894","-49,255","-50,303","-47,080","-37,945","-40,285"
YOA_2022,623,6107,TRI00004,Cat,Open Market,GBP,Gross Net Premium,"-275,221",0,0,"-275,613",0,"-113,860","-113,571","-4,001",0,"-2,536",0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,GBP,External Brokerage,"36,045",0,0,"36,096",0,"14,912","14,874",524,0,332,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,GBP,Gross Gross Premium,"-311,266",0,0,"-311,709",0,"-128,771","-128,444","-4,525",0,"-2,868",0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,EUR,Gross Net Premium,"-430,192",0,0,0,0,0,"-5,588",0,0,0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,EUR,External Brokerage,"56,340",0,0,0,0,0,732,0,0,0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,EUR,Gross Gross Premium,"-486,532",0,0,0,0,0,"-6,320",0,0,0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,CAD,Gross Net Premium,"-320,563",0,0,"-2,290",0,0,"-8,907",0,"-1,296",0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,CAD,External Brokerage,"41,983",0,0,300,0,0,"1,166",0,170,0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,CAD,Gross Gross Premium,"-362,546",0,0,"-2,590",0,0,"-10,073",0,"-1,466",0,0,0
YOA_2022,623,6107,TRI00004,Cat,Open Market,USD,Gross Net Premium,"-1,112,884","-12,839","-45,517","-153,080","-146,794","-1,065,097","-574,093","-3,263","-2,913","-18,564",0,"-97,847"
YOA_2022,623,6107,TRI00004,Cat,Open Market,USD,External Brokerage,"145,750","1,681","5,961","20,048","19,225","139,491","75,187",427,382,"2,431",0,"12,815"
YOA_2022,623,6107,TRI00004,Cat,Open Market,USD,Gross Gross Premium,"-1,258,634","-14,520","-51,478","-173,129","-166,018","-1,204,588","-649,280","-3,691","-3,295","-20,995",0,"-110,661"
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,GBP,Gross Net Premium,"-20,973",0,0,"-41,370",0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,GBP,External Brokerage,"3,162",0,0,"6,236",0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,GBP,Gross Gross Premium,"-24,134",0,0,"-47,607",0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,EUR,Gross Net Premium,0,0,0,"-3,376",0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,EUR,External Brokerage,0,0,0,509,0,0,0,0,0,0,0,0
YOA_2022,623,6107,TRI00012,Ex Cat,Open Market,EUR,Gross Gross Premium,0,0,0,"-3,885",0,0,0,0,0,0,0,0
